iter	Passed	Remaining
889	1855	229
890	1857	227
891	1859	225
892	1861	223
893	1862	220
894	1864	218
895	1866	216
896	1868	214
897	1870	212
898	1871	210
899	1873	208
900	1875	206
901	1877	203
902	1878	201
903	1880	199
904	1882	197
905	1884	195
906	1885	193
907	1887	191
908	1889	189
909	1891	187
910	1893	184
911	1894	182
912	1896	180
913	1898	178
914	1900	176
915	1901	174
916	1903	172
917	1905	170
918	1907	168
919	1908	165
920	1910	163
921	1912	161
922	1913	159
923	1916	157
924	1918	155
925	1919	153
926	1921	151
927	1923	149
928	1925	147
929	1926	145
930	1928	142
931	1930	140
932	1932	138
933	1934	136
934	1936	134
935	1937	132
936	1939	130
937	1941	128
938	1943	126
939	1945	124
940	1947	122
941	1949	120
942	1950	117
943	1952	115
944	1954	113
945	1956	111
946	1957	109
947	1959	107
948	1961	105
949	1963	103
950	1964	101
951	1966	99
952	1968	97
953	1970	95
954	1972	92
955	1974	90
956	1976	88
957	1978	86
958	1980	84
959	1982	82
960	1984	80
961	1985	78
962	1987	76
963	1989	74
964	1991	72
965	1993	70
966	1994	68
967	1996	66
968	1998	63
969	2000	61
970	2002	59
971	2004	57
972	2006	55
973	2008	53
974	2009	51
975	2011	49
976	2013	47
977	2015	45
978	2017	43
979	2018	41
980	2020	39
981	2022	37
982	2023	35
983	2025	32
984	2027	30
985	2029	28
986	2031	26
987	2032	24
988	2034	22
989	2036	20
990	2038	18
991	2040	16
992	2041	14
993	2043	12
994	2045	10
995	2047	8
996	2048	6
997	2050	4
998	2052	2
999	2054	0
